tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2017-580,Australian Open,Hard,128,G,20170116,161,106378,,,Kyle Edmund,R,,GBR,22.02327173,46,989,105053,,,Santiago Giraldo,R,188,COL,29.13894593,91,631,6-2 7-5 6-3,5,R128,110,12,2,78,43,39,20,15,0,1,6,4,85,48,32,17,14,5,10
2017-580,Australian Open,Hard,128,G,20170116,162,104797,,,Denis Istomin,R,188,UZB,30.36002738,117,498,104471,,,Ivan Dodig,R,183,CRO,32.03832991,170,336,6-1 6-4 3-6 7-5,5,R128,154,14,2,119,78,61,19,19,8,11,7,11,113,65,47,20,19,3,9
2017-580,Australian Open,Hard,128,G,20170116,163,104925,2,,Novak Djokovic,R,188,SRB,29.65639973,2,11780,104269,,,Fernando Verdasco,L,188,ESP,33.17180014,40,1105,6-1 7-6(4) 6-2,5,R128,140,2,2,94,58,44,18,14,3,5,5,5,106,55,33,20,13,10,16
2017-580,Australian Open,Hard,128,G,20170116,164,104918,1,,Andy Murray,R,190,GBR,29.67556468,1,12560,126094,,,Andrey Rublev,R,,RUS,19.24161533,152,383,6-3 6-0 6-2,5,R64,96,9,2,69,44,34,17,12,0,0,2,3,65,27,19,14,11,1,7
2017-580,Australian Open,Hard,128,G,20170116,165,105023,31,,Sam Querrey,R,198,USA,29.27857632,32,1355,200282,,,Alex De Minaur,R,,AUS,17.9137577,301,164,7-6(5) 6-0 6-1,5,R64,108,9,9,89,46,43,21,13,3,3,1,4,100,68,44,8,12,8,13
2017-580,Australian Open,Hard,128,G,20170116,166,104999,,,Mischa Zverev,L,190,GER,29.40451745,50,894,104545,19,,John Isner,R,206,USA,31.72621492,19,1850,6-7(4) 6-7(4) 6-4 7-6(7) 9-7,5,R64,250,22,13,212,128,107,43,31,16,17,33,4,203,143,106,36,31,13,16
2017-580,Australian Open,Hard,128,G,20170116,167,104291,,,Malek Jaziri,R,185,TUN,32.99110198,56,824,122330,,,Alexander Bublik,R,,RUS,19.58384668,207,268,6-2 6-3 7-5,5,R64,97,8,4,82,48,34,20,15,7,10,15,4,92,50,30,14,14,4,12
2017-580,Australian Open,Hard,128,G,20170116,168,104607,10,,Tomas Berdych,R,196,CZE,31.33196441,10,3060,105992,,,Ryan Harrison,R,183,USA,24.6954141,82,664,6-3 7-6(6) 6-2,5,R64,125,15,2,75,48,43,16,15,2,3,6,11,129,68,46,22,14,10,15
2017-580,Australian Open,Hard,128,G,20170116,169,103819,17,,Roger Federer,R,185,SUI,35.44147844,17,1980,111511,,,Noah Rubin,R,,USA,20.90349076,200,274,7-5 6-3 7-6(3),5,R64,123,17,2,112,67,55,25,17,5,6,2,3,102,57,36,28,16,5,8
2017-580,Australian Open,Hard,128,G,20170116,170,105041,,,Lukas Lacko,R,185,SVK,29.20465435,121,486,104534,,,Dudi Sela,R,175,ISR,31.78644764,67,731,2-6 6-3 6-2 6-4,5,R64,135,8,1,118,66,45,28,18,8,12,5,5,98,68,42,16,17,5,11
